Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - pancreas,0,2023
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - pancreas,0,2023
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - pancreas,0,2023
PI - A.O.U. PISANA,PI,Rene,Rene - pancreas,2,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - pancreas,0,2023
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - pancreas,0,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - pancreas,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - pancreas,3,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - pancreas,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - pancreas,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - pancreas,0,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - pancreas,0,2023
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - pancreas,0,2023
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - pancreas,0,2023
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - pancreas,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - pancreas,0,2023
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - pancreas,0,2023
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - pancreas,0,2023
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - pancreas,0,2023
PA - Is.Me.T.T.,PA,Rene,Rene - pancreas,1,2023
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - pancreas,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - pancreas,0,2023
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - cuore,0,2023
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - cuore,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - cuore,0,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - cuore,0,2023
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - cuore,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - cuore,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene - cuore,0,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene - cuore,0,2023
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene - cuore,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene - cuore,0,2023
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene - cuore,0,2023
VI - OSPEDALE DI VICENZA,VI,Rene,Rene - cuore,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene - cuore,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene - cuore,1,2023
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene - cuore,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene - cuore,0,2023
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene - cuore,0,2023
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene - cuore,0,2023
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene - cuore,0,2023
PI - A.O.U. PISANA,PI,Rene,Rene - cuore,0,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene - cuore,0,2023
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene - cuore,0,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene - cuore,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene - cuore,0,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene - cuore,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene - cuore,1,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene - cuore,0,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene - cuore,0,2023
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene - cuore,0,2023
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,NA,Rene,Rene - cuore,0,2023
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene - cuore,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene - cuore,0,2023
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene - cuore,0,2023
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene - cuore,0,2023
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene - cuore,0,2023
PA - Is.Me.T.T.,PA,Rene,Rene - cuore,0,2023
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene - cuore,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene - cuore,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato,176,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato,98,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato,109,2023
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato,42,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato,58,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato,128,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato,65,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Fegato,29,2023
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Fegato,41,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato,128,2023
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato,136,2023
PI - A.O.U. PISANA,PI,Fegato,Fegato,134,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato,52,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato,74,2023
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",RM,Fegato,Fegato,6,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato,24,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato,24,2023
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato,6,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato,19,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato,32,2023
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Fegato,14,2023
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato,51,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato,54,2023
PA - Is.Me.T.T.,PA,Fegato,Fegato,88,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato,35,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato - pancreas,1,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato - pancreas,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato - pancreas,0,2023
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato - pancreas,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato - pancreas,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato - pancreas,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato - pancreas,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Fegato - pancreas,0,2023
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Fegato - pancreas,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato - pancreas,0,2023
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato - pancreas,0,2023
PI - A.O.U. PISANA,PI,Fegato,Fegato - pancreas,0,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato - pancreas,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato - pancreas,0,2023
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",RM,Fegato,Fegato - pancreas,0,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato - pancreas,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato - pancreas,0,2023
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato - pancreas,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato - pancreas,0,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato - pancreas,0,2023
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Fegato - pancreas,0,2023
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato - pancreas,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato - pancreas,0,2023
PA - Is.Me.T.T.,PA,Fegato,Fegato - pancreas,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato - pancreas,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato - pancreas - polmone doppio,1,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato - pancreas - polmone doppio,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato - pancreas - polmone doppio,0,2023
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato - pancreas - polmone doppio,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato - pancreas - polmone doppio,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato - pancreas - polmone doppio,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato - pancreas - polmone doppio,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Fegato - pancreas - polmone doppio,0,2023
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Fegato - pancreas - polmone doppio,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato - pancreas - polmone doppio,0,2023
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato - pancreas - polmone doppio,0,2023
PI - A.O.U. PISANA,PI,Fegato,Fegato - pancreas - polmone doppio,0,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato - pancreas - polmone doppio,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Fegato - pancreas - polmone doppio,0,2023
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato - pancreas - polmone doppio,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato - pancreas - polmone doppio,0,2023
PA - Is.Me.T.T.,PA,Fegato,Fegato - pancreas - polmone doppio,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato - pancreas - polmone doppio,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Fegato - pancreas - intestino,0,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Fegato - pancreas - intestino,1,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Fegato - pancreas - intestino,0,2023
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Fegato - pancreas - intestino,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Fegato - pancreas - intestino,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Fegato - pancreas - intestino,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Fegato - pancreas - intestino,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Fegato - pancreas - intestino,0,2023
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Fegato - pancreas - intestino,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Fegato - pancreas - intestino,0,2023
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Fegato - pancreas - intestino,0,2023
PI - A.O.U. PISANA,PI,Fegato,Fegato - pancreas - intestino,0,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Fegato - pancreas - intestino,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Fegato - pancreas - intestino,0,2023
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",RM,Fegato,Fegato - pancreas - intestino,0,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Fegato - pancreas - intestino,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Fegato - pancreas - intestino,0,2023
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Fegato - pancreas - intestino,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Fegato - pancreas - intestino,0,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Fegato - pancreas - intestino,0,2023
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Fegato - pancreas - intestino,0,2023
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Fegato - pancreas - intestino,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Fegato - pancreas - intestino,0,2023
PA - Is.Me.T.T.,PA,Fegato,Fegato - pancreas - intestino,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Fegato - pancreas - intestino,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Fegato,Rene - fegato,6,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Fegato,Rene - fegato,2,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Fegato,Rene - fegato,3,2023
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,MI,Fegato,Rene - fegato,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Fegato,Rene - fegato,1,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Fegato,Rene - fegato,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Fegato,Rene - fegato,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Fegato,Rene - fegato,0,2023
GE - A.O.U. S. MARTINO - GENOVA,GE,Fegato,Rene - fegato,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Fegato,Rene - fegato,11,2023
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Fegato,Rene - fegato,5,2023
PI - A.O.U. PISANA,PI,Fegato,Rene - fegato,0,2023
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Fegato,Rene - fegato,2,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Fegato,Rene - fegato,0,2023
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",RM,Fegato,Rene - fegato,0,2023
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Fegato,Rene - fegato,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Fegato,Rene - fegato,3,2023
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Fegato,Rene - fegato,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Fegato,Rene - fegato,0,2023
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Fegato,Rene - fegato,0,2023
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",RM,Fegato,Rene - fegato,0,2023
NA - AZIENDA OSPEDALIERA A. CARDARELLI,NA,Fegato,Rene - fegato,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Fegato,Rene - fegato,0,2023
PA - Is.Me.T.T.,PA,Fegato,Rene - fegato,1,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Fegato,Rene - fegato,2,2023
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Cuore,6,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Cuore,23,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Cuore,21,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Cuore,19,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Cuore,13,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Cuore,50,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Cuore,22,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Cuore,22,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Cuore,50,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Cuore,18,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Cuore,13,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Cuore,7,2023
NA - A. O. MONALDI,NA,Cuore,Cuore,15,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Cuore,61,2023
PA - Is.Me.T.T.,PA,Cuore,Cuore,16,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Cuore,7,2023
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Cuore - polmone doppio,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Cuore - polmone doppio,4,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Cuore - polmone doppio,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Cuore - polmone doppio,0,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Cuore - polmone doppio,1,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Cuore - polmone doppio,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Cuore - polmone doppio,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Cuore - polmone doppio,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Cuore - polmone doppio,0,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Cuore - polmone doppio,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Cuore - polmone doppio,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Cuore - polmone doppio,0,2023
NA - A. O. MONALDI,NA,Cuore,Cuore - polmone doppio,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Cuore - polmone doppio,0,2023
PA - Is.Me.T.T.,PA,Cuore,Cuore - polmone doppio,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Cuore - polmone doppio,0,2023
"TO - AOU Città della Salute, PO OIRM",TO,Cuore,Rene - cuore,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Cuore,Rene - cuore,0,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Cuore,Rene - cuore,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Cuore,Rene - cuore,0,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Cuore,Rene - cuore,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Cuore,Rene - cuore,0,2023
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Cuore,Rene - cuore,0,2023
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Cuore,Rene - cuore,1,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Cuore,Rene - cuore,0,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Cuore,Rene - cuore,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Cuore,Rene - cuore,0,2023
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Cuore,Rene - cuore,1,2023
NA - A. O. MONALDI,NA,Cuore,Rene - cuore,0,2023
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Cuore,Rene - cuore,0,2023
PA - Is.Me.T.T.,PA,Cuore,Rene - cuore,0,2023
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Cuore,Rene - cuore,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Polmone,2,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Polmone,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone,3,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone,2,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone,1,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone,0,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone,1,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone,3,2023
PA - Is.Me.T.T.,PA,Polmone,Polmone,3,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Polmone doppio,20,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Polmone doppio,12,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Polmone doppio,30,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Polmone doppio,7,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Polmone doppio,53,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Polmone doppio,14,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Polmone doppio,19,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Polmone doppio,1,2023
PA - Is.Me.T.T.,PA,Polmone,Polmone doppio,11,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Fegato - pancreas - polmone doppio,1,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Fegato - pancreas - polmone doppio,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Fegato - pancreas - polmone doppio,0,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Fegato - pancreas - polmone doppio,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Fegato - pancreas - polmone doppio,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Fegato - pancreas - polmone doppio,0,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Fegato - pancreas - polmone doppio,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Fegato - pancreas - polmone doppio,0,2023
PA - Is.Me.T.T.,PA,Polmone,Fegato - pancreas - polmone doppio,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Polmone,Cuore - polmone doppio,4,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Polmone,Cuore - polmone doppio,0,2023
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Polmone,Cuore - polmone doppio,0,2023
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Polmone,Cuore - polmone doppio,1,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Polmone,Cuore - polmone doppio,0,2023
BO - S.ORSOLA-MALPIGHI - BO,BO,Polmone,Cuore - polmone doppio,0,2023
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Polmone,Cuore - polmone doppio,0,2023
RM - POLICLINICO UMBERTO I - ROMA,RM,Polmone,Cuore - polmone doppio,0,2023
PA - Is.Me.T.T.,PA,Polmone,Cuore - polmone doppio,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Pancreas,1,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Pancreas,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Pancreas,1,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Pancreas,1,2023
PI - A.O.U. PISANA,PI,Pancreas,Pancreas,2,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Pancreas,0,2023
PA - Is.Me.T.T.,PA,Pancreas,Pancreas,0,2023
"TO - AOU Città della Salute, PO S.G.Battista",TO,Pancreas,Fegato - pancreas - polmone doppio,1,2023
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Pancreas,Fegato - pancreas - polmone doppio,0,2023
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Pancreas,Fegato - pancreas - polmone doppio,0,2023
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Pancreas,Fegato - pancreas - polmone doppio,0,2023
PI - A.O.U. PISANA,PI,Pancreas,Fegato - pancreas - polmone doppio,0,2023
RM - A.O. SAN CAMILLO - FORLANINI,RM,Pancreas,Fegato - pancreas - polmone doppio,0,2023
PA - Is.Me.T.T.,PA,Pancreas,Fegato - pancreas - polmone doppio,0,2023
